Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,buy_countdown_recycled,sell_countdown_recycled,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-09-11 00:00:00-04:00,226.23995033725743,229.7998710451417,226.010588238333,229.3810577392578,50208600,3,0,False,False,False,False,0,0,False,False,224.05612439304167,,230.98950805664063,239.872349628708,222.10666648457325,HOLD
2025-09-12 00:00:00-04:00,228.5733443098202,233.84841389514688,228.3739115767776,233.40966796875,55824200,4,0,False,False,False,False,0,1,False,False,224.05612439304167,,231.05382614135743,239.9897040637054,222.11794821900946,HOLD
2025-09-15 00:00:00-04:00,236.33139853346725,237.5180438551372,234.36695488957946,236.03224182128906,42699500,0,1,False,False,False,False,0,2,False,False,224.05612439304167,,231.3086051940918,240.51683652661114,222.10037386157245,HOLD
2025-09-16 00:00:00-04:00,236.51088466190768,240.53949594661788,235.65332541334,237.4781494140625,63421100,0,2,False,False,False,False,0,3,False,False,224.05612439304167,,231.6705810546875,241.26287668578493,222.07828542359005,HOLD
2025-09-17 00:00:00-04:00,238.2958480596019,239.42266510979977,237.05934071942244,238.3157958984375,46508000,0,3,False,False,False,False,0,4,False,False,224.05612439304167,,232.09089202880858,242.0864927472942,222.09529131032298,HOLD
2025-09-18 00:00:00-04:00,239.2930082114909,240.51953392817583,235.98236714862816,237.2089080810547,44249600,0,4,False,False,False,False,0,0,False,False,224.05612439304167,,232.6827178955078,242.4012063191752,222.9642294718404,HOLD
2025-09-19 00:00:00-04:00,240.54944568604057,245.60514967420656,239.53233423145286,244.80740356445312,163741300,0,5,False,False,False,False,0,5,False,False,224.05612439304167,,233.70981216430664,244.00741669737255,223.41220763124073,HOLD
2025-09-22 00:00:00-04:00,247.5995237986898,255.9160073848096,247.42002368458668,255.35755920410156,105517400,0,6,False,False,False,False,0,6,False,False,224.05612439304167,,235.121817779541,248.8022579523714,221.4413776067106,HOLD
2025-09-23 00:00:00-04:00,255.15814081026073,256.6140134777918,252.86462630601793,253.71221923828125,60275200,0,7,False,False,False,False,0,7,False,False,224.05612439304167,,236.48147048950196,251.8616209792944,221.10131999970952,HOLD
2025-09-24 00:00:00-04:00,254.49999981420794,255.01853710208397,250.33178410429736,251.59820556640625,42303700,0,8,False,False,False,True,0,0,False,False,224.05612439304167,,237.62822647094725,253.94544659625214,221.31100634564237,HOLD
2025-09-25 00:00:00-04:00,252.4956917858775,256.44452717224715,250.99992334214926,256.1453552246094,55202100,0,9,False,False,False,True,0,0,False,False,234.36695488957946,,238.943505859375,256.7868015839495,221.10021013480048,SELL (Setup Complete)
2025-09-26 00:00:00-04:00,253.38315498635407,256.87328100426123,253.06405044687503,254.73931884765625,46076300,1,0,False,False,False,False,0,0,False,False,234.36695488957946,,240.08527603149415,258.9264364755572,221.2441155874311,HOLD
2025-09-29 00:00:00-04:00,253.84185736381545,254.28061851263055,252.29622703166862,253.71221923828125,40127700,0,0,False,False,False,False,0,0,False,False,234.36695488957946,,241.19663162231444,260.51789211697525,221.87537112765364,HOLD
2025-09-30 00:00:00-04:00,254.1410137555297,255.1980209495745,252.39595068950493,253.9116668701172,37704300,0,1,False,False,False,False,0,0,False,False,234.36695488957946,,242.4386184692383,261.6714897957403,223.2057471427363,HOLD
2025-10-01 00:00:00-04:00,254.3205078449461,258.05994405161016,254.21081755391603,254.72935485839844,48713900,1,0,False,False,False,False,0,1,False,False,234.36695488957946,,243.28522338867188,263.1385064231759,223.43194035416786,HOLD
2025-10-02 00:00:00-04:00,255.85613542550084,257.45162766856953,253.43299812845933,256.40460205078125,42630200,0,1,False,False,False,False,0,2,False,False,234.36695488957946,,244.15027542114257,264.7307542839398,223.56979655834536,HOLD
2025-10-03 00:00:00-04:00,253.9515436206674,258.5086431914624,253.23357360959045,257.2920837402344,49155600,0,2,False,False,False,False,0,0,False,False,234.36695488957946,,245.06418991088867,266.29728430623265,223.83109551554466,HOLD
2025-10-06 00:00:00-04:00,257.2621712100349,258.3391414491699,254.33047806472084,255.96585083007812,44664100,0,3,False,False,False,False,0,0,False,False,234.36695488957946,,246.00203704833984,267.4303018390262,224.57377225765347,HOLD
2025-10-07 00:00:00-04:00,256.0854948355218,256.67382669789566,254.70938317067183,255.75643920898438,31955800,0,4,False,False,False,False,0,0,False,False,234.36695488957946,,247.10541534423828,268.1329437333392,226.0778869551374,HOLD
2025-10-08 00:00:00-04:00,255.79633660873378,257.7906945345413,255.38748958216482,257.3320007324219,36496900,0,5,False,False,False,False,0,0,False,False,234.36695488957946,,248.6645050048828,267.67747905480974,229.65153095495586,HOLD
2025-10-09 00:00:00-04:00,257.082687156571,257.2721535801604,252.42586356688122,253.3233184814453,38322000,1,0,False,False,False,False,0,0,False,False,234.36695488957946,,249.8616180419922,266.64685107363476,233.07638501034958,HOLD
2025-10-10 00:00:00-04:00,254.2207817432353,255.6567217403356,243.3116425485481,244.57806396484375,61999100,2,0,False,False,False,False,0,0,False,False,234.36695488957946,,250.42003784179687,265.5635398817966,235.27653580179714,HOLD
2025-10-13 00:00:00-04:00,248.6764678182016,248.98559082884384,244.86723728717817,246.96131896972656,38142900,3,0,False,False,False,False,0,0,False,False,234.36695488957946,,250.96649169921875,264.6415068129289,237.29147658550858,HOLD
2025-10-14 00:00:00-04:00,245.90431694508948,248.14796941642882,244.00966795095763,247.07101440429688,35478000,4,0,False,False,False,False,0,0,False,False,234.36695488957946,,251.44613494873047,263.73148690289145,239.1607829945695,HOLD
2025-10-15 00:00:00-04:00,248.78616738422895,251.10959602979932,246.77186176083558,248.63658142089844,33893600,5,0,False,False,False,False,0,0,False,False,234.36695488957946,,251.96217422485353,262.694111331489,241.23023711821804,HOLD
2025-10-16 00:00:00-04:00,247.54966879270205,248.33743345063007,244.43847540742667,246.75192260742188,39777000,0,1,False,False,False,False,0,0,False,False,234.36695488957946,,252.43932495117187,261.0479272031836,243.83072269916016,HOLD
2025-10-17 00:00:00-04:00,247.3203043073955,252.66518358811555,246.57242016484557,251.5782470703125,49147000,0,2,False,False,False,False,0,3,False,False,234.36695488957946,,252.77786712646486,260.6212843524365,244.9344499004932,HOLD
2025-10-20 00:00:00-04:00,255.168106265739,263.63416054313814,254.90884523128253,261.50018310546875,90483000,0,3,False,False,False,False,0,4,False,False,234.36695488957946,,253.0849983215332,261.78773308663534,244.38226355643104,HOLD
